popularity,id,1_n,2_n
33,5rwP6eKGSsdQ0Zr69phC99,52.00000,38.25000
54,4f2LaSXjjsqEZxRNNZL7qw,49.00000,35.75000
83,5me0Irg2ANcsgc93uaYrpb,66.36170,60.48070
7,0SI5FDdfCtQJDbAoGgDPWW,36.50000,32.40000
37,4tuzg2QDbDF6ytPrszs4q1,58.00000,36.73438
9,12Ie3mO6sfgT2bIdFAjIom,2.00000,9.00000
53,3NUsiT2JSyaWAnWaXxDzhQ,37.12500,33.10345
53,31GFatrHl2ijnS4ZAWA9s0,27.06250,23.37984
31,67yO6NzNK7kVNo3SSaz7qA,37.40000,34.18182
53,1sdyFmN4bVOcuFDpTVsxBB,38.08000,32.89160
43,5CAx2uZYeKOZxvasIfk9TY,46.00000,49.56250
49,1qkEx9YPevCOQhazUZK1bJ,46.66667,34.52941
67,695W5F2Ih8dYahLdjVOIoH,14.00000,62.00000
52,5keeQyPKYRxUCKDMECTXG3,45.00000,45.96429
68,1Fmb52lZ6Jv7FMWXXTPO3K,47.20000,37.58824
57,0AWhixY9hX7LEPyPMjh4O0,43.53846,51.79104
67,1zxDewzd2j1ZdSBGaYcr0y,7.00000,67.00000
69,4OgNARLQSC4yy7Dsa5cqxx,57.68750,53.95808
72,3zhijRRIZX2B6G2T7vJl9p,56.53846,56.68067
58,3TQ9JTBI2n2hfo7aRONEYV,51.42857,58.45902
74,1XkoF8ryArs86LZvFOkbyr,69.65079,61.85461
79,7FsRH5bw8iWpSbMX1G7xf1,57.66667,58.58824
63,08Ld63UgKrJ0nZnCkzHtzc,47.68750,57.46060
56,5Pqx4mXYDGIDcg8E5FYjZ8,33.50000,46.25000
40,2Ju4D1DqBETuLI2hAsoqHu,17.80851,21.78528
50,0IuqAyi5CMgpuyhckrcqNs,37.83333,29.93296
25,3sG9KXKRYbAkBvRkvIqJZe,34.54545,29.78667
33,0xRqtLGIVSzXM9yg2wFMLC,37.16667,33.71642
22,58wzyK6DupVsypvs3QV2Fo,19.47826,20.62162
37,3SC1GczHVpsiorx1KFaa4S,51.33333,39.68421
33,06VZekh3wTqjHJbGCNBBLu,23.00000,33.00000
28,6V92xGMFMr4619y6ZvEUFR,27.00000,28.00000
36,4sc3uhxQjxefWx0lirN9Pg,43.00000,36.00000
62,5HlnN6xF2MD87KhGRmCRTd,44.27273,42.17500
37,7r2lG8Ui6vGHAgsKlE8Hd8,23.00000,52.00000
59,18JD8DVlD1fakDAw7E9LFC,80.00000,58.02632
46,53jXEVVJtpaWVQ3ffvhDtl,42.00000,55.00000
50,4LtIfuFeAamus9OOItuWDD,45.00000,34.87500
51,74IEeKcuS34kF2TjOigXra,51.75000,45.57143
66,4GQwgdcDQwqtcHICjUNndp,37.30909,30.87252
48,0Uo6kyjrbQoZBlcXsMb8Vm,65.80000,54.42213
58,11CxpTfZC60MYKjL7HESKR,37.33333,40.50000
75,2y246nnP9pQT0E6v3ZMMOO,64.80000,60.50000
33,62atbNjymScOdnYZn6IuoW,16.00000,33.00000
29,7sdIwHhEEFS9TtoBseTlGA,42.58824,33.22668
4,6B9fJDzjadyDEi5oNFgeYk,11.13333,11.94656
19,004vJjwinUsV1yan0nPb1O,35.00000,30.83958
34,3ltZsnKXs9TkOCL4fhFMhR,33.06667,28.82166
60,2g0QLUYku8AuPVK2udRV7i,48.00000,47.16667
33,05BYEPhmF0YRqm7MKdu81V,20.90000,25.35556
17,2EEF03TXRH255BfrhmdrLs,8.44444,16.71429
49,3FjdJbt6Myq32uv7P4owM1,62.00000,33.77778
32,4FkXsXGJUTP1J32k3ZYiOA,23.50000,36.00000
23,0ae3xoTB764jMkhhvWjjsS,26.66667,31.69444
2,7lQmCBww5KZgpYc4t1PcHc,2.00000,2.00000
68,5vQfv3s2Z2SRdPZKr82ABw,79.33333,71.63636
24,5OwpWMBMc42SApMxEXoe0p,16.66667,19.11111
39,1nBRaXFNbBFqcFNeB1AMg2,31.70000,28.41579
45,52jfQPouCIphLVi3FqGa7x,49.00000,55.00000
57,5VGsR5wapeJIuRPX26IeGn,72.00000,41.33333
23,2XxSFKVJnCLGGvNXnyiQYL,25.50000,17.43750
31,3lQuLlW6tYv1nm3nzyJ6Ty,41.00000,37.50000
6,37ZZuiiIwLNQVouJYIpT77,35.50000,29.77273
19,31FfcE4dDFayo0MqZadfSC,40.80000,28.28571
47,3Z1yaFUknAq52KBVmrYpqy,31.65385,28.60577
60,2F5W6Rsxwzg0plQ0w8dSyt,51.00000,47.16667
57,74D1UgRzMhTSPz698exXmR,34.40000,44.65217
47,1WKZeYNzwar047FcK0Y47n,47.33333,46.26667
55,4wwj0BGZ6T61LB1jBWdo0n,22.00000,53.80000
61,3fmMaLC5jjf2N4EC2kTx0u,56.00000,51.88000
27,2Tq4xKjGkoZyAzdklz74oM,51.00000,26.66667
37,22xFYRBuSniRzAYugJFjvY,1.00000,37.00000
40,4DtKAGXohf7BzaVU8cBxlU,52.00000,41.45238
27,5csKyypxXUXTNBUGuCrsoV,42.00000,43.80000
45,1Px6nQCyIRM4Gj0tyvZ1TU,71.00000,56.57143
40,4psAP2Nyj5BmNqrAzTTlhx,38.33333,35.80000
22,5OJ6h1wSbXzPUJQsJRBdb1,31.00000,27.25714
54,6JW55AQgf9M9SZgzZou2NQ,56.33333,56.14286
54,4C9Tvlt8v7d8R6h98FgdUy,41.50000,41.50000
36,7t9RzoO6u80uVTQGEt5p59,59.00000,37.00000
27,5u7FXbK7whWNTbgeicnbG9,27.00000,26.47619
47,3m7Ej9zfNto7JOsjKsYhEr,67.33333,60.57812
59,462T0buQ5ScBUQCRpodDRf,48.75000,50.75000
7,13AWat5Mhlzq4meHhTnzBU,25.00000,11.50000
60,4hwJwkgsufeilLXS1ZfJqq,73.00000,57.66667
64,2hmePXeTr2b7cdRAtRjvPq,65.00000,64.00000
42,5tEUnEwJfkZDP2ZuLy4Fzu,28.50000,35.58333
44,52kYszLEohR0DpTAVD8Y12,23.00000,36.00000
29,27hBqhUVPnkDTP6hDFLlOe,7.00000,29.00000
25,4w9nuJAMi9rY53KTWo0Ym9,32.00000,28.50000
47,0luDJsRYWbHW2Sj1I5TPrE,15.62500,19.09259
51,07N5hTxdi3rA5cyaf469Ly,24.40741,41.01754
27,1JlC6XG7lkwT6GzgQB9xOx,52.00000,53.00000
52,2GVksDv9UpY60i4CvytrZK,47.00000,52.00000
48,5CNgBVZXUEEGqyzgjUAgDj,29.87879,33.46909
16,3o8J3FlLvoCBLdwQ2kdfsS,21.00000,20.40000
52,6dHnnLJitCxdFTt9QmSQ8G,53.00000,50.01266
36,35BsDVEPHGqz4fPhlRJHB1,32.00000,36.00000
35,5UezsklPScipW64XJm7qql,19.40000,17.53750
49,3e6shNAdjKsxqMeIKJaP8Z,47.75000,44.77778
21,6Pxti5FRCx8cg6ijXKAopt,20.50000,18.62500
49,4dSDQR6kZAlQbDG44CYDdL,6.00000,48.00000
41,47dC2tIVeFjNtRXcCE53O8,40.00000,41.00000
22,2utfFT6Mtlseww2PBlYwfF,26.40000,26.07080
23,2iL5YJ5pmQmu9mf3vR2xUX,32.50000,33.40000
59,4hpKB93agzoncsTXEstSpK,62.66667,45.87500
21,7faNPQVIQE827gQ2tsenFT,13.83333,15.80645
30,76V6Eswamdb53xumyIwxuI,32.42857,30.50694
61,2ueoLVCXQ948OfhVvAy3Nn,43.00000,52.50000
42,7BdQWt4FjHEvmTH6jmaJd1,9.00000,42.00000
51,0re1rxUsmmsr5u6qbXvl8z,56.00000,50.41667
45,1MfMEINKi23iSLoLcLVGRy,43.50000,52.25000
20,5XFQxZKcNaRSmSN39upplo,11.20000,11.57143
49,58BWh3yJrluDugLv0QF0eC,37.00000,49.00000
52,2ZMnWI3oIHyj7MyuZ99gvu,25.22222,32.88462
49,6FK6uP46ntwU9gaQQxTlDV,43.80000,45.53846
49,1lqh5puCZTMsGJalV8Rjbe,42.00000,29.77778
7,7aoHAC7aGNfSiDCIHxRO84,9.00000,7.00000
45,6pyqBc7HaffcZJhyfjnceP,31.66667,25.97561
21,7nnIPmXBiFdrHlUHn6S8Mi,29.00000,14.52941
70,6gEzJZrbm0F4ihvE9iXR9z,46.21429,47.42857
23,5SjihfTc47jqUtadaagvwi,18.55556,22.96610
49,0sgV4klGs1Y1dgbBi28JlD,61.75000,47.96774
19,1oWxrZS6SYLs5RSTp49o1J,16.00000,17.00000
15,6kRLOur8sFmCXbitqyKNQ2,30.50000,22.75000
