,number of nodes,number of edges,max popularity,avg popularity,min popularity,max followers,avg followers,min followers,genres
13,15,23,{0: 74},{0: 13.133333333333333},{0: 0},{0: 469927},{0: 40997.4},{0: 0},2
0,13,25,{0: 94},{0: 64.53846153846153},{0: 44},{0: 43882754},{0: 4548266.461538462},{0: 158},2
7,11,38,{0: 39},{0: 3.5454545454545454},{0: 0},{0: 399},{0: 36.27272727272727},{0: 0},2
6,4,4,{0: 35},{0: 8.75},{0: 0},{0: 11234},{0: 2808.5},{0: 0},2
2,3,3,{0: 23},{0: 23.0},{0: 23},{0: 1160},{0: 403.6666666666667},{0: 1},2
3,3,3,{0: 84},{0: 80.33333333333333},{0: 77},{0: 3711889},{0: 2725094.3333333335},{0: 1752012},2
4,3,3,{0: 52},{0: 51.333333333333336},{0: 51},{0: 527},{0: 308.3333333333333},{0: 137},2
5,3,2,{0: 30},{0: 10.0},{0: 0},{0: 8758},{0: 2919.3333333333335},{0: 0},2
9,3,3,{0: 0},{0: 0.0},{0: 0},{0: 3},{0: 1.6666666666666667},{0: 0},2
10,3,3,{0: 2},{0: 0.6666666666666666},{0: 0},{0: 28},{0: 9.333333333333334},{0: 0},2
1,2,1,{0: 86},{0: 81.0},{0: 76},{0: 7058703},{0: 5213119.0},{0: 3367535},2
8,2,1,{0: 1},{0: 0.5},{0: 0},{0: 13},{0: 6.5},{0: 0},2
11,2,1,{0: 34},{0: 17.5},{0: 1},{0: 36005},{0: 18006.0},{0: 7},2
12,2,1,{0: 0},{0: 0.0},{0: 0},{0: 0},{0: 0.0},{0: 0},2
14,2,1,{0: 5},{0: 2.5},{0: 0},{0: 46},{0: 23.5},{0: 1},2
